id,annotator,factual_accuracy,completeness,source_quality,coherence
1,1,0.9,0.96,0.73,0.9
1,2,0.91,0.97,0.74,0.91
2,1,0.91,0.9,0.74,0.96
2,2,0.91,0.9,0.74,0.96
3,1,0.95,0.89,0.73,0.96
3,2,0.95,0.89,0.73,0.96
4,1,1.0,0.84,0.8,0.73
4,2,0.99,0.83,0.79,0.72
5,1,0.77,0.86,0.84,0.85
5,2,0.78,0.87,0.85,0.86
6,1,0.75,0.84,0.94,0.75
6,2,0.74,0.83,0.93,0.74
7,1,0.86,0.73,0.7,0.82
7,2,0.87,0.74,0.71,0.83
8,1,0.97,0.78,0.8,0.94
8,2,0.97,0.78,0.8,0.94
9,1,0.72,0.79,0.75,0.91
9,2,0.71,0.78,0.74,0.9
10,1,0.85,0.97,0.79,0.78
10,2,0.86,0.98,0.8,0.79
11,1,0.96,0.95,0.85,0.7
11,2,0.96,0.95,0.85,0.7
12,1,0.87,0.92,0.93,0.88
12,2,0.86,0.91,0.92,0.87
13,1,0.71,0.93,0.93,0.78
13,2,0.71,0.93,0.93,0.78
14,1,0.97,0.86,0.96,0.85
14,2,0.96,0.85,0.95,0.84
15,1,0.79,0.95,0.79,0.79
15,2,0.79,0.95,0.79,0.79
16,1,0.82,0.99,0.85,0.74
16,2,0.83,1.0,0.86,0.75
17,1,0.97,0.92,0.77,0.97
17,2,0.98,0.93,0.78,0.98
18,1,0.98,0.72,0.71,0.75
18,2,0.97,0.71,0.7,0.74
19,1,0.92,0.89,0.99,0.77
19,2,0.91,0.88,0.98,0.76
20,1,0.79,0.88,0.85,0.92
20,2,0.79,0.88,0.85,0.92
